Year,Month,Day,MinTemp,MaxTemp,Precipitation,Snowfall
2016,1,1,11,56,0,0
2016,1,2,0,44,0,0
2016,1,3,17,72,0,0
2016,1,4,-99,22,0,0
2016,1,5,-116,-16,0,0
2016,1,6,-38,50,0,0
2016,1,7,-5,78,0,0
2016,1,8,-5,78,0,0
2016,1,9,44,83,0,0
2016,1,10,44,150,457,0
2016,1,11,-32,44,0,0
2016,1,12,-38,67,0,0
2016,1,13,-55,-10,0,0
2016,1,14,-55,33,0,0
2016,1,15,11,106,0,0
2016,1,16,56,111,61,0
2016,1,17,-10,56,13,10
2016,1,18,-77,-5,0,0
2016,1,19,-88,-21,0,0
2016,1,20,-27,28,0,0
2016,1,21,-32,22,0,0
2016,1,22,-60,-10,3,5
2016,1,23,-43,-27,587,693
2016,1,24,-66,17,0,0
2016,1,25,-21,39,0,0
2016,1,26,33,89,0,0
2016,1,27,11,83,0,0
2016,1,28,0,56,0,0
2016,1,29,-10,50,0,0
2016,1,30,-21,39,0,0
2016,1,31,22,133,0,0
2016,2,1,67,150,3,0
2016,2,2,33,100,0,0
2016,2,3,56,150,185,0
2016,2,4,67,150,0,0
2016,2,5,-5,67,135,64
2016,2,6,-10,44,0,0
2016,2,7,6,83,0,0
2016,2,8,-21,39,13,3
2016,2,9,-27,22,0,0
2016,2,10,-5,39,3,0
2016,2,11,-77,-5,0,0
2016,2,12,-93,-27,0,0
2016,2,13,-143,-55,0,0
2016,2,14,-182,-93,0,0
2016,2,15,-105,17,112,36
2016,2,16,17,122,257,0
2016,2,17,17,39,0,0
2016,2,18,-27,22,0,0
2016,2,19,-43,39,0,0
2016,2,20,39,161,0,0
2016,2,21,67,128,8,0
2016,2,22,33,111,0,0
2016,2,23,17,44,76,0
2016,2,24,22,156,310,0
2016,2,25,28,161,5,0
2016,2,26,-27,39,0,0
2016,2,27,-32,50,0,0
2016,2,28,33,156,0,0
2016,2,29,83,161,13,0
2016,3,1,39,111,0,0
2016,3,2,-16,128,36,0
2016,3,3,-32,22,0,0
2016,3,4,-10,39,28,10
2016,3,5,-21,50,0,0
2016,3,6,0,67,0,0
2016,3,7,22,156,0,0
2016,3,8,83,194,0,0
2016,3,9,67,250,0,0
2016,3,10,172,261,0,0
2016,3,11,89,200,15,0
2016,3,12,44,150,0,0
2016,3,13,100,167,0,0
2016,3,14,44,106,74,0
2016,3,15,67,139,0,0
2016,3,16,89,183,5,0
2016,3,17,72,172,0,0
2016,3,18,56,139,0,0
2016,3,19,22,78,0,0
2016,3,20,0,61,18,0
2016,3,21,0,100,15,13
2016,3,22,17,133,0,0
2016,3,23,89,217,0,0
2016,3,24,67,128,0,0
2016,3,25,67,222,10,0
2016,3,26,33,128,0,0
2016,3,27,61,128,0,0
2016,3,28,56,167,97,0
2016,3,29,44,117,0,0
2016,3,30,28,133,0,0
2016,3,31,94,228,0,0
2016,4,1,161,261,5,0
2016,4,2,94,161,41,0
2016,4,3,11,100,23,0
2016,4,4,-16,72,119,0
2016,4,5,-32,61,0,0
2016,4,6,-10,89,0,0
2016,4,7,89,144,23,0
